#{"t_start": 1524090431.0450215, "env_id": "Hopper-v2"}
r,l,t
318.427992,129,77.880174
329.684488,130,79.124556
323.566791,130,79.269827
320.947797,130,79.409149
352.823661,139,79.557802
333.269594,133,79.700318
331.794021,133,79.838995
327.246968,125,79.989235
343.230404,132,80.159307
323.856185,130,80.330871
333.768223,135,80.498044
316.830449,129,80.639888
341.297069,134,80.791608
314.658812,125,80.926329
334.382009,141,81.070991
355.227369,144,81.219087
319.090029,126,81.357081
318.94546,127,82.386284
355.067304,144,82.544635
329.087825,130,82.689509
337.207755,136,82.828384
321.344159,127,82.957076
299.087998,120,83.078729
340.664637,138,83.218233
371.060684,142,83.363083
320.929575,128,83.494095
336.711269,133,83.630043
362.428107,136,83.771827
331.442213,128,83.902461
339.402988,132,84.037061
329.748091,131,84.171107
360.392495,137,84.319642
328.665703,132,85.465834
331.707193,133,85.607239
337.090535,131,85.743095
339.843425,135,85.880444
302.021425,122,86.004873
319.620383,127,86.135292
324.695674,134,86.271163
326.074603,131,86.404366
326.121153,132,86.538467
360.750065,136,86.681439
340.791964,133,86.817251
333.569203,133,86.952847
356.590273,135,87.090368
325.634552,132,87.224961
337.781563,134,87.362517
333.39011,131,87.49866
337.185012,140,88.502191
332.537664,129,88.633237
342.549481,145,88.781781
345.348343,135,88.919799
347.837251,136,89.058053
335.127621,133,89.19241
319.548065,127,89.321063
319.797894,126,89.449546
338.980703,138,89.588957
326.097666,132,89.728208
324.108078,130,89.859631
344.356755,137,89.999293
421.364826,151,90.153332
345.157305,136,90.290945
334.530486,132,90.42608
361.964383,141,91.546695
340.4408,135,91.69135
387.558735,142,91.835962
345.830637,135,91.974202
380.290656,144,92.121608
358.848942,137,92.261966
357.923444,137,92.400997
358.624455,134,92.538141
386.997835,147,92.693339
347.685559,136,92.834433
329.507739,129,92.96675
336.883016,130,93.10014
349.458068,138,93.241638
374.859466,141,93.385144
346.503,134,93.522293
396.455467,144,94.54282
362.848203,138,94.68556
338.340202,130,94.818143
366.146,141,94.961655
363.420921,136,95.100389
365.35753,138,95.241321
376.199976,139,95.390325
368.017917,137,95.529361
334.012745,134,95.66883
397.094418,149,95.821017
352.765868,141,95.964308
350.805766,136,96.102572
334.44093,130,96.234434
344.826732,134,96.373209
327.689135,127,96.502625
361.034565,137,97.625294
376.100695,144,97.781505
378.171535,146,97.930948
357.090922,141,98.075261
341.593758,136,98.214228
350.834746,134,98.351241
399.540128,148,98.50324
373.736143,137,98.645725
389.119614,146,98.795141
348.930946,137,98.93465
376.070714,144,99.082914
350.333562,138,99.223936
323.700672,126,99.352272
359.449691,139,99.495199
355.867148,134,99.632567
407.805351,149,100.655793
372.117041,141,100.80553
391.773298,142,100.950364
415.593917,155,101.112765
390.302966,145,101.272851
359.900796,134,101.42919
379.352025,141,101.600143
381.288177,140,101.771155
372.775052,140,101.92354
336.810567,131,102.063424
377.802154,150,102.228523
396.358582,148,102.414635
356.999064,140,102.576513
384.123114,144,102.729314
407.40853,150,104.101658
373.843612,142,104.276025
401.667569,145,104.469177
382.233753,143,104.656141
390.338902,147,104.844811
395.730085,147,105.008071
412.876367,147,105.17068
421.327909,157,105.352106
405.349743,148,105.520536
409.585101,148,105.689851
367.155682,144,105.860052
391.499282,146,106.015856
400.680235,147,106.181168
365.538416,141,106.332187
387.747905,144,107.500098
411.42763,150,107.676857
387.14392,148,107.863227
386.533205,145,108.042656
402.834492,147,108.221583
393.995698,146,108.399742
428.969839,154,108.584365
401.328089,148,108.76381
373.581164,144,108.940005
401.198349,146,109.118163
403.762916,147,109.309376
391.670008,147,109.494221
419.169317,151,109.678286
389.356125,144,109.861475
410.765637,152,111.114076
395.777939,151,111.296573
357.967931,136,111.469076
405.852519,153,111.658134
396.895789,145,111.820157
377.748773,142,111.982504
410.520179,152,112.15118
404.282161,149,112.311964
414.576819,146,112.462747
410.323077,144,112.61596
431.796684,157,112.789328
450.61759,159,112.975061
380.094798,140,113.126746
382.701115,144,113.277393
422.926906,154,114.345558
408.384372,150,114.506864
378.889687,140,114.659018
427.255729,152,114.819542
419.133965,151,114.9747
439.080005,159,115.152102
423.645388,151,115.317884
401.725608,147,115.496341
403.985674,145,115.674824
418.210251,151,115.855922
411.896238,153,116.042553
411.96581,150,116.225106
367.197403,138,116.396566
407.007306,151,117.658847
459.901399,162,117.843661
414.889058,149,118.007377
416.320371,147,118.16527
426.719095,153,118.322718
371.575061,134,118.460752
