#{"t_start": 1524075484.6549065, "env_id": "Ant-v2"}
r,l,t
-138.809856,33,166.186077
-53.987309,18,166.219399
-85.939276,42,166.295181
-72.802039,17,166.326488
-45.698517,16,166.355936
-340.591897,110,166.557842
-37.70355,15,166.58573
-58.945587,22,166.625738
-230.527011,81,166.775532
-330.231936,119,166.99745
-209.486306,84,167.150808
-251.219551,84,167.30232
-32.497102,12,167.324554
-45.248979,16,167.353183
-284.758829,99,169.0496
-160.981291,59,169.170492
-131.77078,52,169.275709
-486.989938,176,169.633531
-196.422098,85,169.809051
-145.900283,42,169.898562
-133.27324,38,169.979253
-77.03323,21,170.02393
-436.986417,144,170.314475
-90.871906,34,170.377039
-134.643575,55,170.475912
-131.916932,41,170.549916
-294.971142,175,170.865321
-61.523636,16,170.8942
-43.998933,17,170.924667
-116.910962,38,170.993926
-72.419915,18,171.026809
-502.363484,177,171.345829
-330.017323,82,171.493161
-57.282442,20,171.529628
-130.122155,34,171.59585
-71.909921,22,171.639334
-79.57293,24,171.682824
-241.306996,85,171.835426
-57.824286,27,171.884491
-68.335834,26,171.931207
-99.801782,31,171.988338
-32.396798,13,172.011594
-65.927118,19,172.046106
-71.508279,17,172.076836
-146.224988,50,172.166867
-364.01138,110,172.36425
-173.854871,64,172.481114
-32.084909,20,172.517121
-247.219317,70,172.643509
-89.595369,28,172.695059
-142.131957,51,172.78828
-44.498416,22,172.827623
-114.934559,49,174.393315
-81.98761,26,174.446809
-175.847812,70,174.590607
-314.005722,103,174.795209
-300.732062,94,174.98275
-297.43159,96,175.172862
-159.845514,51,175.273167
-77.982035,36,175.345847
-350.122782,107,175.561728
-48.542411,11,175.584429
-366.678337,127,175.822941
-113.776223,30,175.877151
-92.94597,29,175.929542
-125.749475,35,175.994189
-58.145172,18,176.027006
-156.226296,48,176.116028
-93.30148,25,176.161771
-84.264344,37,176.229908
-225.821397,80,176.374727
-85.447509,30,176.430207
-224.62543,64,176.54808
-109.248962,40,176.620509
-204.440614,55,176.719923
-73.808556,29,176.772524
-65.803772,22,176.814065
-153.403027,51,176.907737
-2891.712362,1000,180.375921
-118.124463,37,180.453233
-396.826548,121,180.737134
-200.877167,50,180.8464
-55.502932,22,180.891713
-352.884747,88,181.086626
-55.634369,18,181.125881
-142.628431,37,181.206684
