#{"t_start": 1524086290.5772145, "env_id": "Ant-v2"}
r,l,t
-2.695753,12,107.409457
-1573.913625,1000,109.663707
-176.852201,130,109.828605
-86.456112,33,109.870555
-104.362104,48,109.931908
-32.904697,20,109.957367
-17.258374,14,109.975498
-30.482115,22,110.003557
-24.637405,17,110.025304
-301.81473,165,110.238972
-69.693885,32,110.280371
-22.493027,18,110.303298
-214.026393,135,110.474376
-349.641516,180,110.701458
-24.904026,19,110.725748
-41.177529,21,110.752633
-22.71254,20,110.778091
-39.329936,31,110.817534
-235.912112,114,110.964921
-59.576789,41,111.017316
-121.066202,75,111.113012
-1563.755721,1000,113.304592
-106.349231,54,113.372924
-120.574766,65,113.455507
-249.825464,150,113.644431
-31.934493,21,113.671844
-143.117196,84,113.777549
-80.030628,39,113.82682
-428.901386,234,114.123627
-20.905442,11,114.137808
-88.462657,49,114.20133
-61.357047,29,114.238256
-14.452633,15,114.257358
-24.764948,17,114.279076
-42.629535,16,114.299506
-56.429138,25,114.330989
-105.909656,34,114.374173
-73.777548,35,114.418356
-1530.911787,1000,116.69264
-80.830162,35,116.737478
-36.273013,27,116.771948
-47.233877,19,116.79611
-57.003476,51,116.860422
-24.644452,13,116.876992
-12.756414,18,116.899929
-85.669407,39,116.95001
-39.149583,16,116.970534
-43.899279,29,117.007566
-12.390447,11,117.021585
-9.743348,8,117.031873
-152.226135,80,117.134588
-10.120587,17,117.156206
-21.35434,14,117.174771
-74.216677,78,117.27425
-45.32564,30,117.314428
-165.301079,78,117.414001
-87.175377,43,117.469302
-22.229005,16,117.489836
-127.362416,81,117.592924
-32.808312,59,117.667912
-104.869405,50,117.731431
-52.635487,36,117.777043
-91.307442,51,117.841582
-9.520532,13,117.858207
-26.034242,14,117.875929
-201.566644,103,118.008867
-36.773058,26,118.041927
-69.291292,55,118.11235
-32.726304,27,118.146751
-23.165426,13,118.166418
-129.390207,77,118.265766
-18.185388,18,118.288557
-61.72115,44,118.344904
-149.217164,75,118.439713
-53.50544,33,118.481825
-43.460267,36,118.528986
-246.717745,105,118.663185
-22.850692,22,118.691292
-55.101505,45,118.74818
-32.239681,33,119.700824
-57.107137,22,119.729186
-323.652004,189,119.967308
-83.701762,65,120.049406
-31.50337,22,120.07736
-44.252831,32,120.118668
-59.80219,54,120.187632
-36.31706,26,120.220447
-50.615228,33,120.262259
-105.729451,62,120.342204
-37.450489,56,120.41354
-18.535206,18,120.436486
-53.717951,22,120.464884
-45.960384,24,120.495193
-118.817602,106,120.629326
-64.372694,23,120.658616
-102.256318,52,120.724614
-130.539764,70,120.813166
-30.419126,13,120.829624
-53.357648,36,120.875221
-40.185253,33,120.919286
-26.65957,15,120.938971
-19.392995,17,120.961056
-68.6302,36,121.007201
-40.265432,52,121.073261
-40.061338,39,121.123446
-55.720455,26,121.156563
-100.230466,80,121.258271
-29.880852,20,121.283875
-92.225269,47,121.343221
-1539.968353,1000,123.614002
-64.6009,46,123.673448
-1590.540655,1000,124.968964
-298.679997,181,125.203063
-114.992459,96,125.324676
-48.375585,44,125.380606
-57.431802,20,125.406375
-132.232633,68,125.493292
-175.084907,126,125.653314
-40.411316,27,125.688549
-65.048559,36,125.736819
-59.567616,34,125.779918
-19.625144,12,125.79547
-193.585103,118,126.854218
-57.261006,23,126.883395
-78.588513,36,126.931053
-102.913743,50,126.99467
-52.632451,27,127.029158
-60.461132,35,127.073566
-106.871802,56,127.14604
-23.795582,15,127.16537
-119.08243,60,127.241282
-52.530618,31,127.280576
-150.473434,93,127.398256
-89.646172,52,127.464341
-139.916524,74,127.557421
-13.645524,17,127.578989
-22.238558,11,127.593159
-74.181986,34,127.636294
-51.195116,34,127.679752
-245.973532,125,127.837926
-1635.709729,1000,129.12173
-27.827113,22,129.149689
-30.041851,35,129.194492
-103.127985,46,129.252285
-23.799976,12,129.267668
-78.002372,54,129.336098
-124.321562,43,129.390375
-23.248151,35,129.435434
-16.87349,13,130.465537
-14.627811,17,130.487693
-53.514346,44,130.543611
-42.581516,30,130.588647
-41.876197,20,130.6152
-130.637129,73,130.708213
-49.075175,28,130.743807
-17.083132,25,130.775624
-93.309745,41,130.828055
-38.418431,17,130.849586
-59.247391,43,130.905536
-13.936985,14,130.924513
-49.334794,30,130.963862
-50.240499,33,131.007318
-17.860541,11,131.022778
-165.020066,77,131.130904
-133.698889,49,131.196969
-150.805677,96,131.328695
