#{"t_start": 1524074887.627351, "env_id": "Ant-v2"}
r,l,t
-43.899279,29,182.208508
-12.390447,11,182.228891
-9.743348,8,182.243641
-152.226135,80,182.391294
-10.120587,17,182.421714
-21.35434,14,182.447237
-74.216677,78,182.605127
-45.32564,30,182.665761
-165.301079,78,182.824263
-87.175377,43,182.910317
-22.229005,16,182.94753
-127.362416,81,183.132131
-32.808312,59,183.263143
-104.869405,50,183.374978
-52.635487,36,183.455349
-91.307442,51,183.571285
-9.520532,13,183.599684
-26.034242,14,183.630621
-201.566644,103,183.856953
-36.773058,26,183.914109
-69.291292,55,184.03036
-32.726304,27,184.082769
-23.165426,13,184.109156
-129.390207,77,184.265243
-18.185388,18,184.300992
-61.72115,44,184.389115
-149.217164,75,184.527402
-53.50544,33,184.593532
-43.460267,36,184.661634
-246.717745,105,184.852329
-22.850692,22,184.891917
-55.101505,45,184.972211
-32.239681,33,186.578216
-57.107137,22,186.619362
-323.652004,189,186.966913
-83.701762,65,187.086908
-31.50337,22,187.128321
-44.252831,32,187.186402
-59.80219,54,187.285294
-36.31706,26,187.334326
-50.615228,33,187.394229
-105.729451,62,187.508525
-37.450489,56,187.608996
-18.535206,18,187.643329
-53.717951,22,187.68447
-45.960384,24,187.728451
-118.817602,106,187.919796
-64.372694,23,187.967113
-102.256318,52,188.074288
-130.539764,70,188.214588
-30.419126,13,188.241087
-53.357648,36,188.312968
-40.185253,33,188.378621
-26.65957,15,188.408775
-19.392995,17,188.444122
-68.6302,36,188.522947
-40.265432,52,188.643592
-40.061338,39,188.730942
-55.720455,26,188.789148
-100.230466,80,188.968081
-29.880852,20,189.013196
-92.225269,47,189.118382
-1539.968353,1000,192.552681
-64.6009,46,192.636357
-1590.540655,1000,194.663498
-298.679997,181,195.046954
-114.992459,96,195.241488
-48.375585,44,195.32946
-57.431802,20,195.368928
-132.232633,68,195.499491
-175.084907,126,195.731101
-40.411316,27,195.780238
-65.048559,36,195.845083
-59.567616,34,195.907283
-19.625144,12,195.928821
-193.585103,118,197.677165
-57.261006,23,197.719223
-78.588513,36,197.789095
-102.913743,50,197.87872
-52.632451,27,197.927602
-60.461132,35,197.9911
-106.871802,56,198.092541
-23.795582,15,198.120876
-119.08243,60,198.230764
-52.530618,31,198.286232
-150.473434,93,198.456238
-89.646172,52,198.549621
-139.916524,74,198.683588
-13.645524,17,198.715183
-22.238558,11,198.734749
-74.181986,34,198.79814
-51.195116,34,198.859959
-245.973532,125,199.114812
-1635.709729,1000,201.230358
-27.827113,22,201.27122
-30.041851,35,201.333431
-103.127985,46,201.416156
-23.799976,12,201.437365
-78.002372,54,201.533674
-124.321562,43,201.611134
-23.248151,35,201.673225
-16.87349,13,203.173638
-14.627811,17,203.204797
-53.514346,44,203.286759
-42.581516,30,203.342886
-41.876197,20,203.379338
-130.637129,73,203.510546
-49.075175,28,203.56072
-17.083132,25,203.607422
-93.309745,41,203.68143
-38.418431,17,203.713013
